,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
150,030520,KR7030520001,한글과컴퓨터,KOSDAQ,우량기업부,17150,2,-130,-0.75,17370,17780,17150,208804,3627435870,414682609600,24179744,KSQ
151,290690,KR7290690007,소룩스,KOSDAQ,중견기업부,9090,1,130,1.45,9090,9180,8860,145586,1310079360,414179850600,45564340,KSQ
152,194480,KR7194480000,데브시스터즈,KOSDAQ,벤처기업부,34350,1,400,1.18,34200,34350,33750,28532,970472450,413418738000,12035480,KSQ
153,091700,KR7091700005,파트론,KOSDAQ GLOBAL,우량기업부,6980,2,-30,-0.43,7040,7040,6840,182453,1266364660,411249133720,58918214,KSQ
154,372170,KR7372170001,윤성에프앤씨,KOSDAQ,기술성장기업부,51500,2,-500,-0.96,53300,54500,50800,26180,1366371800,410920972000,7979048,KSQ
155,122640,KR7122640006,예스티,KOSDAQ,벤처기업부,19560,1,650,3.44,18910,19800,18910,158520,3076464870,409392912480,20930108,KSQ
156,099320,KR7099320004,쎄트렉아이,KOSDAQ,우량기업부,37250,2,-450,-1.19,37900,38400,37100,38997,1471991250,407935105500,10951278,KSQ
157,171090,KR7171090004,선익시스템,KOSDAQ,중견기업부,42700,2,-1750,-3.94,44850,45000,42700,89412,3898328050,405411093500,9494405,KSQ
158,068240,KR7068240001,다원시스,KOSDAQ,중견기업부,10600,1,70,0.66,10640,10750,10500,79151,839092330,404532432200,38163437,KSQ
159,006730,KR7006730006,서부T&D,KOSDAQ,우량기업부,6070,3,0,0.0,6120,6130,5970,64144,386159230,403211422610,66426923,KSQ
160,338220,KR7338220007,뷰노,KOSDAQ,기술성장기업부,29000,2,-100,-0.34,29200,29600,28650,157404,4568003600,402758293000,13888217,KSQ
161,237880,KR7237880000,클리오,KOSDAQ,우량기업부,22200,2,-600,-2.63,22850,23150,22000,184874,4123108900,401184036600,18071353,KSQ
162,445090,KR7445090004,에이직랜드,KOSDAQ,벤처기업부,37150,1,6300,20.42,31150,39600,31150,6466581,235726685200,400168134900,10771686,KSQ
